mad-dom benchmark gate (T50)
host: linux/x64 · bun 1.4.0 · rust 1.93.1
node payload: 216 B · bench document: 20084 nodes

metric                                   status   value / bound
------------------------------------------------------------------------------
arena_alloc_ops_s                       pass    current 1.22e+8 vs floor 6.61e+7 (0.5x of 1.32e+8)
arena_remove_ops_s                      pass    current 6.49e+7 vs floor 3.86e+7 (0.5x of 7.73e+7)
arena_reuse_ops_s                       pass    current 1.06e+8 vs floor 6.18e+7 (0.5x of 1.24e+8)
arena_capacity_retention_ratio          pass    current 1 vs ceiling 1.10 (1.1x of 1)
mutation_append_ops_s                   pass    current 4.62e+6 vs floor 2.61e+6 (0.5x of 5.22e+6)
mutation_remove_ops_s                   pass    current 4.92e+6 vs floor 2.53e+6 (0.5x of 5.07e+6)
mutation_attr_ops_s                     pass    current 6.23e+6 vs floor 3.16e+6 (0.5x of 6.32e+6)
parser_ops_s                            pass    current 48197.56 vs floor 24517.44 (0.5x of 49034.89)
parser_bytes_s                          pass    current 1.45e+7 vs floor 7.36e+6 (0.5x of 1.47e+7)
serializer_ops_s                        pass    current 43326.18 vs floor 22066.57 (0.5x of 44133.13)
serializer_bytes_s                      pass    current 1.30e+7 vs floor 6.62e+6 (0.5x of 1.32e+7)
selector_cold_ops_s                     pass    current 313.65 vs floor 170.75 (0.5x of 341.50)
selector_hot_ops_s                      pass    current 2.43e+7 vs floor 1.05e+7 (0.5x of 2.09e+7)
selector_matches_ops_s                  pass    current 1.80e+7 vs floor 9.23e+6 (0.5x of 1.85e+7)
ffi_create_element_ops_s                pass    current 256708.16 vs floor 154092.99 (0.5x of 308185.99)
ffi_batch_append_ops_s                  pass    current 519.43 vs floor 260.79 (0.5x of 521.57)
wrapper_identity_hit_rate               pass    current 1 vs floor 1 (1x of 1)
gc_release_hit_rate                     pass    current 1 vs floor 1 (1x of 1)
gc_memory_growth_mb                     info    raw signed RSS delta -22.43 MiB; historical -18.57 MiB (different sampling contract; see memory stability gate)
memory_lifecycle_counters               pass    documents, FFI registrations and wrapper caches must be zero in every warmup/measured sample and the independent facade/FFI digest
memory_rss_bound                        pass    post-GC peak 109.660 MiB <= 2x warm stock 105.979 MiB
memory_rss_trend                        pass    three 8-round blocks: medians MiB [108.018, 108.389, 108.773], lower-quartile slopes B/round [-45056.0, -45056.0, -90112.0]; full-curve projected block growth 0.0 B vs median block IQR 200704.0 B
memory_heapUsed_bound                   pass    post-GC peak 3.899 MiB <= 2x warm stock 3.879 MiB
memory_heapUsed_trend                   pass    three 8-round blocks: medians MiB [3.884, 3.893, 3.897], lower-quartile slopes B/round [0.0, 0.0, -302362.8]

result: PASS — baseline throughput/capacity and current memory stability contract satisfied; raw RSS delta is observational
