
running 18 tests
test ffi::buffer::tests::fill_never_invokes_callback_on_capacity_or_length_failure ... ok
test ffi::tests::creation_batch_is_retryable_and_shared_with_node_api ... ok
test ffi::tests::every_read_validates_owner_generation_token_and_destroy_before_pointers ... ok
test ffi::tests::all_snapshot_capacity_failures_preserve_fresh_proof_and_existing_tokens ... ok
test ffi::tests::capacity_probe_is_exact_and_never_partially_writes_or_mints_tokens ... ok
test ffi::tests::panic_boundary_contains_unwind_and_poisoned_document_recovers ... ok
test ffi::tests::input_cannot_alias_output_or_written_even_during_capacity_probe ... ok
test ffi::buffer::tests::snapshot_initializes_only_the_required_prefix_of_uninitialized_caller_storage ... ok
test ffi::tests::real_query_traversal_and_serialization_share_node_api_tokens ... ok
test ffi::tests::versions_and_status_codes_are_frozen ... ok
test ffi::tests::batch_distinguishes_null_empty_and_unicode_and_is_atomic_on_error ... ok
test ffi::tests::input_and_output_validation_empty_utf8_alignment_overlap_and_syntax ... ok
test ffi::tests::registry_does_not_pin_documents_and_rejects_other_threads ... ok
test ffi::tests::snapshot_errors_win_over_capacity_and_preserve_all_output ... ok
test ffi::tests::stale_arena_generation_after_adoption_cannot_alias_a_reused_slot ... ok
test ffi::tests::wide_preorder_continuation_preserves_topology_and_tokens_across_blocks ... ok
test ffi::tests::registration_count_tracks_lazy_owner_lifecycle ... ok
test ffi::tests::wrapper_cache_counter_returns_to_baseline_after_destroy ... ok

test result: ok. 18 passed; 0 failed; 0 ignored; 0 measured; 88 filtered out; finished in 2.11s

